season,episode,episode_index,title,directed_by,written_by,murderer_played_by,victim_played_by,original_air_date,columbo_first_appearance,run_time,occupation_of_murderer,network,description
2,2,11,The Greenhouse Jungle,Boris Sagal,Jonathan Latimer,Ray Milland as Jarvis Goodland,Bradford Dillman as Tony Goodland,1972-10-15,515,4213,(Unclear - retired?),NBC,"Jarvis Goodland (Ray Milland) and his nephew, Tony (Bradford Dillman), stage Tony's kidnapping in order to break into his trust fund and use his half to hold on to his wife, to whom he wishes to remain married, despite her expensive tastes and separate social and romantic life. Jarvis, disgusted at the notion, shoots and kills Tony, whom he has always despised, once the ransom is paid, and a careful swapping of guns with Tony's wife casts suspicion in her direction. 
Final clue/twist: After Columbo remembers that Jarvis Goodland had years earlier fired a gun at a burglar but only managed to hit a flowerpot, Columbo searches the greenhouse with a metal detector for the old slug. It turns out to be identical to the bullet with which Tony was murdered, proving Goodland killed his nephew, and that the gun evidence against Tony's wife was part of a frame-up.
This episode marks the first appearance of Bob Dishy as Columbo's newly assigned and totally unwanted neophyte partner, Sergeant Frederick Wilson, full of the latest techniques from Berkeley. He appears again in Now You See Him... (Season 5, Episode 5). It is also the first episode in which the main crime is committed after Columbo's initial appearance.

Gloria, Tony's mistress, who believes Tony's wife is the killer and wants to collect a reward, is played by Arlene Martel."
2,3,12,The Most Crucial Game,Jeremy Kagan,John T. Dugan,Robert Culp as Paul Hanlon,Dean Stockwell as Eric Wagner,1972-11-05,1043,4215,General manager of an American football team,NBC,"Paul Hanlon (Robert Culp), the general manager of the Los Angeles Rockets football team, wants to create a sports empire, but Eric Wagner (Dean Stockwell), who inherited the team, lacks ambition. Hanlon sneaks out of the stadium during the national anthem by disguising himself as an ice cream truck driver. He drives to a pay phone near Wagner's home, knowing Wagner's phones have been bugged, during which Hanlon makes it appear he's in his private box at the stadium by holding a radio to the receiver. He then drives to Wagner's house, bludgeons him with a blow to the head with a heavy piece of ice, which melts in the swimming pool, to make it appear to be an accident. Complicating matters is Eve Babcock (Valerie Harper), ostensibly a secretary but actually a call girl and an operative placed in Eric's home by a private detective (Val Avery) who was, in turn, hired by Eric's attorney, Walter Cannell (Dean Jagger). James Gregory plays the football teamâs coach.

Final clue/twist: Columbo notices that the tape of the phone call Hanlon made to establish his alibi, which Hanlon insists was made from his private box in the stadium, did not capture the sound made whenever Hanlonâs office clock chimes to signal the bottom of the hour (the half hour). It proves that Hanlonâs phone call was not made from his private box."
2,4,13,Dagger of the Mind,Richard Quine,(S) Richard Levinson & William Link; (T) Jackson Gillis,Richard Basehart as Nicholas Frame and Honor Blackman as Lillian Stanhope,John Williams as Sir Roger Haversham and Wilfrid Hyde-White as Tanner,1972-11-26,923,5574,Famous stage actors,NBC,"When Sir Roger Haversham (John Williams) realizes that actors Nicholas Frame (Richard Basehart) and his wife, Lillian Stanhope (Honor Blackman), have manipulated him into backing their theater production, he confronts the couple, and is accidentally killed during the ensuing scuffle. The pair cover up the killing by stuffing the body into a trunk, taking it home to his estate, and staging an apparent fall down the stairs. 
Columbo is visiting London to study British police techniques as the guest of Scotland Yard Detective Chief Superintendent William Durk (Bernard Fox), who is called to investigate the incident. Sharon Johansen plays Miss Dudley, an attractive young understudy Frame has his eye on, and thus intensely disliked by Stanhope. Wilfrid Hyde-White plays the butler who covers for the couple but later tries to blackmail them and is murdered by Frame. Arthur Malet is the theater doorman who comes into possession of the dead man's umbrella, which becomes vital to the resolution of the case.
Final clue/twist: Columbo engineers a situation whereby, before witnesses, they search the dead manâs closed umbrella, on exhibit in a wax museum, for a pearl from Lillian Stanhope's broken necklace. According to Columbo this could only have gotten there during the killing. When the umbrella is opened and a pearl is revealed, the increasingly unstable Frame starts babbling, and Stanhope, now overwhelmed, confesses to how they killed Sir Roger. (Columbo had, however, used his childhood marble-playing skills to shoot the pearl into the umbrella moments before it was opened.)

The first of several episodes to feature locations outside the United States, it was filmed in both London and Hollywood. Although scenes with Wilfrid Hyde-White were set in London, due to the actor's tax problems all his character's scenes were filmed in California."
2,5,14,Requiem for a Falling Star,Richard Quine,Jackson Gillis,Anne Baxter as Nora Chandler,Pippa Scott as Jean Davis and John Colicos as Al Cumberland (photograph),1973-01-21,695,4214,Movie star,NBC,"Jean Davis (Pippa Scott), personal assistant to aging movie star Nora Chandler (Anne Baxter), is married to gossip reporter Jerry Parks (Mel Ferrer), and she has secret information about Chandler. One night Nora deflates the tire of Jean's car so that the engaged couple will have to switch vehicles. Chandler starts a gasoline fire just as Parks's car (being driven by Davis) pulls into his garage. It initially appears that the murderer's intended victim was Parks, but actually Jean was the target. Columbo solves the case after connecting it to the mysterious disappearance of Chandler's husband a decade earlier. Kevin McCarthy appears as a physician and friend of Chandler. 
Final clue/twist: Columbo is not sure of anything. He watches one of Nora's old movies in which she disguised herself as a man to commit a murder. He remembers some facts about the disappearance of her husband years before, that the fountain in Nora's garden does not work, and learns it was purchased the day after her husband disappeared. He tricks Nora into thinking her husband's body might have been discovered. When she rushes home and runs straight to her garden, Columbo, lying in wait, confronts her. She confesses that she killed her husband and buried his body under the fountain, and that Jean knew it and that is why she killed her.

Oscar-winning costume designer Edith Head made a cameo appearance as herself."
2,6,15,A Stitch in Crime,Hy Averback,Shirl Hendryx,Leonard Nimoy as Barry Mayfield,Anne Francis as Sharon Martin and Jared Martin as Harry Alexander,1973-02-11,852,4213,Cardiac surgeon,NBC,"Cardiac surgeon Dr. Barry Mayfield (Leonard Nimoy) and Dr. Edmund Hiedemann (Will Geer) have pioneered a major medical breakthrough that Mayfield wants to publish about immediately, but Hiedemann wants to wait and do more tests. When Dr. Hiedemann's heart condition worsens, requiring the insertion of a heart valve, Mayfield performs the surgery using non-permanent sutures, that will kill his partner when it dissolves in his body.
Nurse Sharon Martin (Anne Francis), a friend of Hiedemann, who has never trusted or liked Mayfield, uncovers a suspicious piece of suture, which she takes with her from the operating room. Mayfield observes her doing this and later kills Martin in the hospital garage parking area, staging it as an apparent mugging. He later tries to pin the crime on her ex-boyfriend, a former drug addict (portrayed by Jared Martin), whom he kills as well. This episode contains one of the rare occasions when Columbo loses (or appears to lose) his temper; suddenly slamming a coffee pot down onto Mayfield's desk he angrily warns him that if Hiedemann dies, the police will have his body autopsied to check what sutures were used in his operation. 
Final clue/twist: Mayfield operates on Heidemann again, ostensibly for medical reasons but actually to replace the dissolving sutures. As soon as the procedure is completed, police swarm the operating suite and search for the removed sutures. Mayfield loses his composure, demanding to be allowed to leave the operating room and shoving Columbo in the process. Just as it seems that no sutures are to be found and that Mayfield is in the clear, Columbo re-enters the doctor's office and reveals that he was puzzled as to why Mayfield, always so calm and collected, would have shoved him, then realized that Mayfield used the scuffle to rid himself of the sutures. Here, Columbo pulls the sutures from the pocket of the surgical scrubs he, Columbo himself, had worn in the operating room - ""the only thing not searched"". The hitherto impassive Mayfield shows the first signs of distress.
Nita Talbot plays Marsha, Sharon Martin's roommate.

Apart from season 10's ""No Time to Die"", which had no murderer and is a vast divergence from the series formula, this is the only Columbo episode in which a murderer fails to kill his intended target."
2,7,16,The Most Dangerous Match,Edward M. Abroms,(S) Richard Levinson & William Link; (S/T) Jackson Gillis,Laurence Harvey as Emmett Clayton,Jack Kruschen as Tomlin Dudek,1973-03-04,910,4215,Chess grandmaster,NBC,"When Chess Grandmaster Emmett Clayton (Laurence Harvey) loses an impromptu game to Eastern European champion Tomlin Dudek (Jack Kruschen) the night before their championship match, Clayton decides to kill Dudek. The hearing impaired Clayton shoves him into a garbage grinder in the basement. Dudek survives so Clayton poisons his rival in the hospital before he can regain consciousness. Heidi BrÃ¼hl plays Linda Robinson, who follows in her mother's footsteps in looking after Dudek. Lloyd Bochner plays Dudek's accompanying coach, Mazoor Berozski.
Final clue/twist: Columbo learns that Dudek's injuries were caused by the fall into the grinder rather than by the grinder itself, and that the machinery automatically shuts off if something falls into it while it is in operation. Realizing that someone wanting to kill Dudek would merely have had to turn the grinder back on after it shut itself off, Columbo concludes that since it was not turned back on it means Dudekâs attacker did not know the grinder had shut itself off. This in turn means the culprit must be deaf.

This is one of two episodes (the other is season 10's ""A Bird in the Hand..."") in which Columbo himself is present at a victim's death."
2,8,17,Double Shock,Robert Butler,"(S) Jackson Gillis, Richard Levinson & William Link; (T) Steven Bochco",Martin Landau in a dual role as Dexter Paris and Norman Paris,Paul Stewart as Clifford Paris and Julie Newmar as Lisa Chambers,1973-03-25,733,4215,TV chef / banker,NBC,"Flamboyant television chef Dexter Paris and his identical twin brother, conservative banker Norman (both played by Martin Landau), are supposedly not talking to one another. But both disapprove that their uncle Clifford Paris (Paul Stewart) has become engaged to young, beautiful Lisa Chambers (Julie Newmar). One of the brothers kills uncle Clifford by dropping an electric mixer into the bathtub while he is bathing, electrocuting him. The body is moved to the gym to make it seem like he had a heart attack while using an exercise bike. Clifford's lawyer, Michael Hathaway (Tim O'Connor) reveals to the twins that a new will exists, one which he is willing to ""lose"" for a price. However, Chambers, who became fearful when Columbo questioned her, also has a copy of the will, and thus she is murdered too. Unlike most Columbo episodes, this has a whodunit element which is not resolved until the end of the episode. Dabney Coleman plays Columbo's colleague, Detective Murray. Jeanette Nolan plays Mrs. Peck, a sharp-tongued, fastidious, loyal housekeeper who is appalled by the ""terrible mess"" Columbo makes in the house.

Final clue/twist: The audience has seen one of the twin brothers commit the murder, but does not know which one. During much of the episode both twins try to convince Columbo the other is the killer. Columbo eventually establishes that two persons must have been involved in the actual murder. Due to the short time frame between the short circuit caused by the electrocution and the re-powering of the house, and due to the physical exertion required to drag the dead body out of the bathtub and prop it up on a stationary bike, he realizes the brothers must have worked together. When confronted, Norman admits to what they did, while Dexter screams at him to shut up."
3,1,18,Lovely but Lethal,Jeannot Szwarc,(S) Myrna Bercovici; (T) Jackson Gillis,Vera Miles as Viveca Scott,Martin Sheen as Karl Lessing and Sian Barbara Allen as Shirley Blaine,1973-09-23,1055,4245,CEO of a cosmetics company,NBC,"Cosmetics queen Viveca Scott (Vera Miles) has developed a seemingly magic wrinkle remover, but her former lover, Karl Lessing (Martin Sheen), a chemist for her company, knows the formula and intends to sell it to Scott's rival, David Lang (Vincent Price). Lessing refuses to sell it back to her at any price, and when he taunts Scott, she bludgeons him to death and covers up her tracks as best she can. Lang's secretary, Shirley Blaine (Sian Barbara Allen), has been giving information to Scott about his operation, and, knowing about Lessing's negotiations with Lang, she attempts to blackmail Scott. So Scott kills her too.
Final clue/twist: Columbo notices Viveca itching and, as he suffers in the same way, he realizes they both have poison ivy and must have contacted it from the same source. Scott suspects the wrinkle remover is responsible for her itching. However, Columbo tells her the poison ivy was actually on the slide of Lessing's microscope, shards of which they both touched â he while examining the crime scene, while she could only have done it around the time that Lessing was killed.

There is a sly reference to the film Psycho, in which Miles appeared, when Scott claims to Columbo that she ""couldn't even hurt a fly"". It is very similar to a notable line said by the Norman Bates character in the 1960 film."
3,2,19,Any Old Port in a Storm,Leo Penn,(S) Larry Cohen; (T) Stanley Ralph Ross,Donald Pleasence as Adrian Carsini,Gary Conway as Rick Carsini,1973-10-07,1156,5478,Head of a winery,NBC,"Wine connoisseur Adrian Carsini (Donald Pleasence) runs a small winery specializing in unprofitable but prized wines. He is about to be named the wine industry's Man-of-the-Year. His half-brother, Rick (Gary Conway), only wants to spend money on various hobbies and interests like sports and fast cars and has also been married several times. When Rick gets tired of Adrian's indulgences, he announces his decision to sell the land to mass producers of cheap, profitable wines. Adrian knocks him unconscious and leaves him to die in an airtight wine cellar. He travels to New York to accept the award and attend wine auctions, at the same time establishing his alibi. Upon his return, he concocts a scuba diving accident to explain Rick's death by suffocation. Julie Harris plays Adrian's formidable secretary, who realizes that Columbo suspects Carsini of killing his brother, and has plans of her own for Carsini.  

Final clue/twist: Columbo realizes Carsini had locked Rick in the airtight wine cellar with the air conditioning turned off, and realizes further that this happened when a heatwave had struck Los Angeles. Columbo steals a very rare bottle of wine (Ferrier Vintage Port 1945) from Carsiniâs cellar, and when he treats Carsini and his secretary to dinner, arranges for the restaurant staff to serve it to them. Carsini, upon tasting the wine, explodes in anger and berates the staff for exposing it to very high temperatures. Columbo tells Carsini that reminds him of the recent heatwave. Carsini realizes that all the wine in his cellar would have been spoiled in the heatwave, so that night he sets out to destroy all the bottles. A heart-broken Carsini is caught in the act by Columbo and confesses, expressing relief that at least he does not any more have to deal with his secretary, who had guessed the truth and was pressuring him to marry her."
3,3,20,Candidate for Crime,Boris Sagal,"(S) Larry Cohen; (T) Irving Pearlberg, Alvin R. Friedman, Roland Kibbee & Dean Hargrove",Jackie Cooper as Nelson Hayward,Ken Swofford as Harry Stone,1973-11-04,70,5665,Sentaorial candidate,NBC,"Harry Stone (Ken Swofford), a campaign manager for Nelson Hayward (Jackie Cooper), is coercing the womanizing senatorial candidate  to end his affair with his wife Vickie (Joanne Linville)'s personal secretary Linda (Tisha Sterling), which Stone regards as too risky during a campaign. Stone is also the mastermind of a publicity stunt that involves fabricating death threats against Hayward, to promote his tough stance against crime. Hayward uses this to his advantage: he lures Stone to his own beach house (while driving Hayward's car and wearing Hayward's coat), where the candidate shoots and kills Stone, making it look like a case of mistaken identity at the hands of the phantom assassins.
Final clue/twist: Hayward, realizing that Columbo is coming closer to solving the murder, stages a phony assassination attempt on himself. He fires a silenced gun through a balcony window into his private hotel room. He later gets rid of the gun. Hours later he returns to the room, ignites a firecracker to mimic a gunshot, and claims that someone has just shot at him from outside. When the police express shock at the brazenness of the alleged shooter, he feigns outrage at them doubting his word, and demands that the bullet be removed from the wall and analyzed. Columbo reveals that the ballistics of the bullet are already in, and that it indeed was fired from the murder weapon. He explains that after Hayward had been alone in the room (a time when he ostensibly was making phone calls), Columbo had searched it and found the hole in the window and the bullet in the wall. He had done this hours before Hayward claimed someone had just shot at him.

Joanne Linville plays Hayward's wife. A young Katey Sagal has a small role as a secretary. Her father, Boris Sagal, directed the episode."
3,4,21,Double Exposure,Richard Quine,Stephen J. Cannell,Robert Culp as Bart Keppel,Robert Middleton as Vic Norris and Chuck McCann as Roger White,1973-12-16,784,4229,(Subliminal) Advertising expert,NBC,"Dr. Bart Keppel (Robert Culp) is a ""motivation research specialist"" who has become an expert practitioner of subliminal advertising (which involves inserting frames of an advertised product into the reels of a film, so viewers' subconscious minds react to what is pictured). Keppel's more lucrative sideline is blackmail: he takes pictures of married clients with attractive women he hired to get them in compromising positions. When his latest victim, Vic Norris, refuses to be blackmailed and threatens to expose him, Keppel plots to kill him. Keppel serves salty caviar at a reception he is hosting for his clients prior to showing them his latest promotional film. Subliminal photos of a refreshing drink are inserted into the film, which, when it is shown, lure Norris out of the screening room. Keppel is supposedly narrating the film as it is playing, but in reality the clients are hearing Keppel's voice playing from a tape recorder. When Norris is lured out, Keppel shoots him in the building lobby. Keppel has already set in motion a scheme to make it seem that the crime was committed by Norris's wife. Keppel's projectionist, Roger White (Chuck McCann), then discovers the cuts in the film and pieces together Keppel's scheme, forcing Keppel to murder him as well when Roger tries to blackmail him.
Final clue/twist: Columbo uses Keppelâs technique against him. He arranges to splice into a film, which Keppel will soon view, many subliminal cuts of images of Columbo closely searching areas where the murder weapon must be. On seeing the cuts, an alarmed Keppel rushes to his office to make sure the weapon is still where he left it. Columbo is waiting there, hidden, and when Keppel retrieves the evidence, Columbo is there to seize it. 

This episode received the Emmy Award in the category for Outstanding Limited Series."
